“甘普基本变形法则”五大例外中的第一项是什么？,不可能凭空变出美味佳肴
猜猜看，为什么鸟蛇蛋那么值钱？,它们是银做的
猜猜看，以前纳威·隆巴顿教授的宠物蟾蜍名叫什么？,莱福
参加三强争霸赛的选手必须年满多少周岁？,17周岁
参加斯拉格霍恩教授晚宴的成员们加入了什么团体？,鼻涕虫俱乐部
参与三强争霸赛的人中牺牲的是谁？,塞德里克·迪戈里
曾被藏在霍格沃茨的魔法石是谁制作的？,尼可·勒梅 
曾关押黑巫师格林德沃的纽蒙迦德，位于哪个国家？,奥地利
曾经，多洛雷斯·乌姆里奇用什么物品惩罚哈利和他的同学们？,惩罚羽毛笔
曾经，弗雷德和乔治偷偷用什么偷听凤凰社会议？,伸缩耳
曾经，谁告诉哈利和罗恩有一位女孩死在了盥洗室里？,德拉科·马尔福
曾经参加过四强争霸赛的芙蓉·德拉库尔的妹妹叫什么？,加布丽
曾经大难不死的男孩——哈利·波特出生于哪里？,戈德里克山谷
曾经的人气明星吉德罗·洛哈特最喜欢的颜色是什么？,淡紫色
曾为克劳奇家族服务过家养小精灵是谁？,闪闪
差点没头的尼克喜欢别人叫他什么？,尼古拉斯爵士
差点没头的尼克一直想加入哪个组织？,无头猎手队
查理·韦斯莱在哪儿研究龙？,罗马尼亚
茶叶占卜是研究什么的？,研究茶叶渣形状
初入霍格沃茨的第一学年，哈利、罗恩和赫敏在盥洗室打败了什么生物？,巨怪
传说中的混血王子是谁？, 西弗勒斯·斯内普
传闻中，波特家族在古灵阁的金库编号是多少？,687号
传闻中，哈利·波特的父亲詹姆波特的外号是什么？,尖头叉子
传闻中，赫敏曾用什么形容罗恩的感情？,一茶匙
传闻中，詹姆·波特的阿尼马格斯形态是什么？,牡鹿
传闻中的“救世之星”是谁？, 哈利·波特
传闻中的预言厅在哪？,魔法部
传闻中哪一个童话故事提到了死亡圣器的起源？,三兄弟的传说
传言，赫敏·格兰杰闻到的爱情魔药是……什么味道？,刚修剪过的草坪、新的羊皮纸和薄荷味牙膏
从哪本书中可以学习到神锋无影这个咒语？,《高级魔药制作》
从哪里可以搭乘霍格沃茨特快列车去霍格沃茨？,国王十字车站，9 3/4站台
大家常去对角巷光顾的猫头鹰商店叫什么名字？,咿啦猫头鹰商店
大家熟知的神奇动物商店位于哪里？,对角巷
大家知道，哈利在哪里找到了魔法石吗？,在他的口袋里
大家知道费尔奇的猫叫什么名字吗？,洛丽丝夫人
大家知道海格教授的粉红色雨伞里隐藏着什么吗？,他的旧魔杖
达力在哪本书里遇到了摄魂怪？,凤凰社
打人柳看守什么？,一条通往尖叫棚屋的秘密通道
打人柳下的树洞可以通往那里？,尖叫棚屋
大战后谁回到霍格沃茨完成七年级的学业？, 赫敏·格兰杰
当德思礼侮辱邓布利多的时候，海格做了什么？,给达力变出了一条猪尾巴
当邓布利多被革除校长职位后，谁接任了他的职位？, 多洛雷斯·乌姆里奇
当多洛雷斯·乌姆里奇从霍格沃茨离开时，皮皮鬼用什么东西攻击她？,拐杖和装满了粉笔的袜子
当哈利·波特第一次参加魁地奇比赛时，是谁对他的飞天扫帚施用了黑魔法？,奎里纳斯·奇洛
当记忆球变成红色意味着什么？,使用者遗忘了什么
当密室打开时，赫敏通过什么看见了蛇怪？,镜子
当你打开吼叫信时会发生什么？,被吼叫
当年赫敏用什么方法同时修多门课程？,时间转换器
当使用者忘记了一些事情的时候记忆球会变成什么颜色？,红色
当一个人快死时，喝什么生物的血可以使其继续生存下去？,独角兽
当有人穿过神秘事务司的帷幔时会发生什么？,会死
到霍格沃茨所要乘的特快列车编号是多少？,5972
德科拉·马尔福二年级时使用的什么飞天扫帚？,光轮2001
德拉科·马尔福用来羞辱赫敏的“泥巴种”是什么意思？,父母都是麻瓜的巫师
德拉科·马尔福在三强争霸赛的圣诞舞会上的舞伴是谁？,潘西·帕金森
德拉科·马尔福最终与谁结成了夫妻？, 阿斯托利亚·格林格拉斯
邓布利多曾在厄里斯魔镜里藏了什么？, 魔法石
邓布利多的凤凰的名字叫什么？, 福克斯
邓布利多的母亲叫什么名字？, 坎德拉·邓布利多
邓布利多第一次见到汤姆·里德尔是在什么地方？,伍氏孤儿院
邓布利多告诉赫敏可以利用时间转换器拯救两条生命时，他指的谁？,小天狼星·布莱克和巴克比克
邓布利多将什么东西作为遗产留给了给赫敏·格兰杰？,《诗翁彼豆故事集》
邓布利多将什么遗赠给罗恩？,熄灯器
邓布利多教授学生时被分到了哪个学院？,格兰芬多
邓布利多军的第一次集会地点选择在了哪里？,猪头酒吧
邓布利多军通过什么硬币来交流信息？,假加隆
邓布利多逝世后，熄灯器的持有者是谁？,罗恩·韦斯莱
邓布利多死的那天晚上，是什么文物让食死徒进入霍格沃茨？,消失柜
邓布利多与格林德沃在什么时候因什么决裂？,1899年在两人的争吵中阿利安娜突然死亡
邓布利多在青年时期最好的朋友是谁？,盖勒特·格林德沃·
第二学年，哈利·波特和罗恩·韦斯莱是通过什么方式到达学校的？, 魔法汽车
第二学年后的暑假罗恩·韦斯莱用了什么工具联系哈利，又对此次联系感到抱歉？,电话
第一个金色飞贼由巫师金匠鲍曼·莱特在哪里打造？,戈德里克山谷
第一只金色飞贼的制作者是谁？,鲍曼·莱特
电影中，哈利·波特没有进入霍格沃茨魔法学校之前放出一条什么蟒蛇？,缅甸蟒
独角兽宝宝是什么颜色的？, 金色
毒角兽的角有什么特别之处？,会引起爆炸
对黑魔法影响颇深，以第一位蛇怪孵化者著称的最早蛇佬腔之一是？,海尔波
对角巷里，专门售卖坩埚的店由谁经营？,帕特奇女士
对角巷上哪一家酒吧被巫师公认为伦敦最古老的酒吧？,破釜酒吧
对抗食死徒时，小天狼星·布莱克死于谁之手？,贝拉特里克斯·莱斯特兰奇
多比营救哈利·波特等人，从马尔福庄园传送到哪里？,贝壳小屋
多比在收到什么物品之后成为了自由的小精灵？,哈利·波特的袜子
多洛雷斯·乌姆里奇的守护神是什么？,猫
多洛雷斯·乌姆里奇建立了什么学生组织来维持校园秩序？,调查行动组
多年前小矮星彼得被分到了哪个学院？,格兰芬多
阿不福思·邓布利多的守护神是什么？,山羊
阿布拉克萨斯·马尔福的死因是什么？,龙痘疮
阿不思·邓布利多曾拥有几件死亡圣器？,三件
阿不思·邓布利多和哈利·波特去岩洞中取挂坠盒时最想喝什么？,水
阿不思·邓布利多没能直接通过魔法部长交给哈利·波特等三人的遗物是什么？,格兰芬多宝剑
阿不思·邓布利多派谁在麻瓜世界保护哈利？,费格太太
阿不思·邓布利多在什么地方与盖勒·格林德沃相识？,戈德里克山谷
阿兹卡班的守卫是什么？,摄魂怪
厄里斯魔镜名字的词源来自哪个单词？, desire
厄里斯魔镜所反映的不是一个人的倒影，而是什么呢？,他们心中最大的愿望
阿尼马格斯形态下的小天狼星·布莱克被称为大脚板或什么？,伤风
二年级魔法史会教授中世纪欧洲巫师集会/会议与哪个大会？,1289年国际巫师大会
二年级时，是谁在女生盥洗室外的墙上写下“与继承人为敌者，警惕！下一个就是你们，泥巴种！”的？,金妮
飞来咒唯一可以召来的活物是什么？,弗洛伯毛虫
飞路粉是由谁发明的？,伊格内希娅·怀尔德史密斯
飞路网将什么连接在一起？,壁炉
飞艇李与众不同的地方在哪里？, 颠倒着悬挂在树上
分院帽里能得到什么？,格兰芬多宝剑
分院帽最开始是谁的帽子？,戈德里克·格兰芬多
凤凰的眼泪有什么功效？,疗伤治愈
凤凰社总部在哪里？,格里莫广场12号
疯眼汉穆迪曾如何“惩罚”德拉科·马尔福？,他把德拉科变成了一只白鼬
疯眼汉穆迪在魔法部担任什么职位时受了很多伤？,傲罗
伏地魔曾喝了谁的血来维持生命？, 独角兽的血
伏地魔的宠物纳吉尼体长多少？,12英尺
伏地魔的哪个魂器被藏在古灵阁莱斯特兰奇仓库？,赫尔加·赫奇帕奇的金杯
伏地魔魂器之一的斯莱特林的挂坠盒由谁保管？,克利切
伏地魔学生时代的黑魔法防御术老师叫什么？,梅乐思教授
伏地魔用什么药水保护藏在岩洞中的魂器？,绝望药水
伏地魔在哪里得到老魔杖的？,霍格沃茨
福克斯属于哪种生物？, 凤凰
弗雷德和乔治开的商店名称叫什么？,韦斯莱魔法把戏坊
弗雷德和乔治是如何获得活点地图的？,从费尔奇的办公室偷来的
弗雷德和乔治使用什么东西向乌姆里奇示威？,韦斯莱烟花
弗雷德和乔治在格兰芬多魁地奇球队中担任什么位置？,击球手
弗雷和乔治第一次也是最后一次看对方变老的样子是在什么时候？,火焰杯吐出他们名字时
弗立维教授是哪个学院的院长？,拉文克劳
弗立维教授是哪门课的老师？, 魔咒学
弗立维教授用了什么方式保护魔法石？,施了魔法的钥匙
福灵剂的重要配方之一是哪种生物的蛋壳？,鸟蛇
盖勒特·格林德沃曾潜伏进美国魔法国会，当时他的化名为？, 帕斯瓦尔·格雷夫斯
盖勒特·格林德沃曾在哪所学校上学？,德姆斯特朗
盖勒特·格林德沃所属的魔法学校的以下哪个？,德姆斯特朗
甘普基本变形法则一共有几条例外法则？,5条
格兰芬多的学院幽灵是谁？,差点没头的尼克
格兰芬多公共休息室曾用过哪个口令？,香蕉炸面团
格雷女士一般只跟哪个学院的人说话？,拉文克劳
格洛普第一次见到赫敏时送了她什么东西？,自行车把手
根据霍格沃茨校规规定，学生几年级之后才可以前往霍格莫德村？,三年级
根据推测，伏地魔的母亲是使用哪种方式让他的父亲爱上她的？,使用迷情剂
古灵阁中守护金库的龙是什么品种？,乌克兰铁肚皮
关押格林德沃的监狱位于那个国家？, 奥地利
哈利，赫敏，韦斯莱一家在哪里使用了门钥匙去魁地奇世界杯场地？, 白鼬山
哈利、罗恩和赫敏最初怀疑谁想要偷走魔法石？,西弗勒斯·斯内普
哈利、罗恩和赫敏最喜欢到猪头酒吧喝的饮品是？,黄油啤酒
哈利·波特17岁生日时，韦斯莱夫人送了他什么礼物？,手表
哈利·波特把哪件圣器遗弃在了禁林？,复活石
哈利·波特被伏地魔魔咒杀死以后，是谁帮助了哈利隐瞒未死亡的信息？,纳西莎·马尔福
哈利·波特被摄魂怪攻击看见的景象？,母亲被攻击的画面
哈利·波特被食死徒抓到马尔福庄园时，用的是谁的名字？, 弗农·达利
哈利·波特毕业后去做了什么工作？,傲罗
哈利·波特曾和他麻瓜亲戚德思礼一家住在哪儿？,女贞路
哈利·波特曾经试图取得水下的格兰芬多宝剑差点淹死，是被谁所救？,罗恩
哈利·波特曾在厕所拿什么咒语将德拉科马尔福打上伤？,神锋无影
哈利·波特曾在动物园放出了什么动物？,蛇
哈利·波特曾在格兰芬多魁地奇球队打什么位置？, 找球手
哈利·波特曾在什么节日时回到了父母牺牲的家？,圣诞节
哈利·波特的出生地是哪里？,戈德里克山谷
哈利·波特的守护神是哪种动物？,牡鹿
哈利·波特的小女儿叫什么名字？,莉莉·卢娜·波特
哈利·波特的眼镜被谁修复过一次？,赫敏
哈利·波特的姨夫姨妈告诉哈利父母的死亡原因是什么呢？,车祸
哈利·波特的挚友罗恩·韦斯莱有多少兄弟姐妹？, 6个
哈利·波特的祖父从事什么工作发家？,护发药水
哈利·波特第一次见到奇洛教授是在哪里？,破釜酒吧
哈利·波特第一次去摩金夫人长袍专卖店遇到了谁？,德拉科·马尔福
哈利·波特第一次是怎样抓住的金色飞贼？,用嘴抓住
哈利·波特第一次遇见摄魂怪是在哪里？,霍格沃茨特快列车
哈利·波特共用过几次门钥匙？,7
哈利·波特和罗恩·韦斯莱从巨怪手中救出赫敏·格兰杰的那一天是莉莉和詹姆逝世第几周年？,十周年
哈利·波特和罗恩·韦斯莱用什么撞到了打人柳？,飞行汽车
哈利·波特和小天狼星·布莱克被摄魂晕倒，是谁施了呼神护卫咒驱赶了所有摄魂怪？,哈利·波特
哈利·波特继承的死亡圣器是什么？,隐身衣
哈利·波特进入霍格沃茨第一天的格兰芬多公共休息室的口令是什么？,龙渣
哈利·波特魔杖的材质是什么？,冬青木
哈利·波特是佩弗利尔三兄弟中谁的后代？,伊格诺图斯
哈利·波特十七岁生日时鲁伯·海格送了什么礼物？,驴皮做的小袋子
哈利·波特是什么咒语的唯一幸存者？, 阿瓦达索命
哈利·波特是通过打败谁成为了老魔杖的主人？,德科拉·马尔福
哈利·波特使用什么破坏了汤姆·里德尔的日记？,蛇怪的毒牙
哈利·波特收到的第一把飞天扫帚是谁赠送的？,麦格教授
哈利·波特暑假在家写的魔法史论文题目为？,《十四世纪烧死女巫的做法完全是无稽之谈》
哈利·波特学生时，罗米达·万妮曾十分迫切的想与他约会，其中原因是？,他是被选中的孩子
哈利·波特学生时期的草药学老师是谁？, 斯普劳特教授
哈利·波特一年级拿到魔法石时穿的是什么颜色的毛衣？,红色
哈利·波特有几个孩子？,3个
哈利·波特在动物园使用过什么天赋？,蛇佬腔
哈利·波特在火焰杯第二项比赛中使用了哪种植物？,鳃囊草
哈利·波特在哪里第一次收到了鲁伯·海格的生日蛋糕？,礁石上的小屋
哈利·波特在校时，谁的成绩总是班级第一？, 赫敏·格兰杰
哈利·波特最擅长什么咒语？, 除你武器
哈利波特在三强争霸赛中从哪条龙身上夺得了金色飞球？,匈牙利树峰
哈利曾经被叫作过什么？,疤头
哈利搭乘骑士公共汽车去了哪里？,破釜酒吧
哈利的初恋是谁？,秋·张
哈利的第一位黑魔法防御课教师是谁？,奎里纳斯·奇洛
哈利第一次参加魁地奇比赛前，赫敏借给了他一本什么书？,魁地奇古史
哈利第一次来到古灵阁时，带领他们去金库的妖精是谁？,拉环
哈利第一次使用“倒挂金钟”时，被倒挂的人是谁？,罗恩·韦斯莱
哈利第一次使用飞路粉时误入了哪里？,博金-博克古董商店
哈利第一根魔杖的杖芯是什么？,凤凰羽毛
哈利二年级开学时，以什么交通方式到达了霍格沃茨？,一辆会飞的车
哈利和邓布利多在岩洞中遇到了什么可怕的东西？,阴尸
哈利和邓布利多最后一次见面是在哪里？,国王十字车站
哈利和罗恩驾驶的福特安格利亚车最后撞到了什么？,打人柳
哈利怀疑小天狼星有危险时，他以什么交通方式到达了魔法部？,夜骐
哈利坚称伏地魔卷土重来，乌姆里奇惩罚他反复抄写什么？,我不可以说谎
哈利利用蛇佬腔和什么动物说过话？,蛇
哈利三年级开学时，霍格沃茨列车上什么导致了哈利晕倒？,摄魂怪
哈利三年级开学时，霍格沃茨特快列车上什么导致了哈利晕倒？,摄魂怪
哈利三年级时，黑魔法防御术课上遭遇的博格特是什么形态？,摄魂怪
哈利三年级时为什么没能和其他同学一起去霍格莫德？,他的姨父没有签同意书
哈利三人组遇到的三头犬叫什么？,路威
哈利上一年级时，谁跑到礼堂告诉大家一只巨怪被放出来了？,奇洛教授
哈利一年级时，霍格沃茨城堡中的哪个地方是禁止学生入内的？,四楼走廊
哈利一年级时，谁在禁林中保护了他？,费伦泽
哈利一年级在与奇洛对抗后住进校医院，海格来探望时送了什么礼物？,哈利父母的照片
哈利因为在麻瓜面前召唤守护神被审讯时，谁当了他的证人？,阿拉贝拉·费格
哈利因在麻瓜面前召唤守护神而被传唤后，谁主持了他的庭审？,阿米莉亚·博恩斯女士
哈利在火车上拆巧克力蛙卡片时，获得的第一个人物是？,阿不思·邓布利多
哈利在活点地图上看到了哪个他以为已经死去的人？,小矮星彼得
哈利在级长浴室遇到了谁？,哭泣的桃金娘
哈利在丽痕书店看到过谁的签售会？, 吉德罗·洛哈特
哈利在冥想盆中看到斯内普的记忆，记忆里他们正在进行什么考试？,黑魔法防御术
哈利在魔药课上因为制作哪种魔药获得了福灵剂？,活地狱汤剂
哈利在目睹谁的死亡后能看到夜骐？,塞德里克·迪戈里
哈利在三强争霸赛带回了谁的尸体？,塞德里克·迪戈里
哈利·波特在三强争霸赛中需要从哪种龙那里取走金蛋？,匈牙利树峰龙
哈利在逃亡过程中，在哪里拿到了格兰芬多宝剑？,湖底
哈利在学习守护神咒时，使用过下列哪一段回忆？,第一次骑上飞天扫帚的记忆
哈利之外还有谁能拔出格兰芬多宝剑？,纳威·隆巴顿
海德薇的名字出自哪里？,《魔法史》
海格曾说，除了霍格沃茨之外，世界上最安全的地方是哪里？,古灵阁
海格给鹰头马身有翼兽巴克比克取的新名字是什么？, 蔫翼
海格教授曾经养大的八眼巨蛛叫什么名字？,阿拉戈克
海格教授曾提起过，他在翻倒巷找什么驱虫剂时，遇见了迷路的哈利？, 食肉鼻涕虫
海格教授曾提起过他有个同母异父的弟弟，你们知道他叫什么吗？, 格洛普
海格如何描述牙牙？, 胆小
海格是乘坐什么交通工具将婴儿哈利送到邓布利多面前？,飞天摩托
海格使用什么交通工具把小哈利·波特送到了女贞路4号？,会飞的摩托车
海格是怎么得到火龙蛋的？,赢来的
海格为什么被送进阿兹卡班？,密室再度打开
海格用什么把小哈利·波特送到他姨夫姨妈家？,会飞的摩托车
海格在霍格沃茨上学时期养过什么当宠物？,八眼巨蛛
海莲娜·拉文克劳把她母亲的冠冕藏在哪里？,在一颗空心的树中
赫敏·格兰杰曾被谁用钻心咒折磨过？,贝拉特里克斯·莱斯特兰奇
赫敏·格兰杰的O·W·Ls成绩中哪一科只取得了E（良好）？,黑魔法防御术
赫敏·格兰杰的守护神是什么形态？, 水獭
赫敏·格兰杰对自己的父母施展魔法让他们搬家去了哪里？, 澳大利亚
赫敏·格兰杰开学前在哪本书上看到了霍格沃茨的大礼堂？,《霍格沃茨：一段校史》
赫敏·格兰杰用了谁的签名才能借到《强力药水》？,吉德罗·洛哈特
赫敏·格兰杰与哈利·波特见面时，使用的第一个咒语是？,恢复如初
赫敏·格兰杰在闻到爱情药剂后在脑海里最后的味道是？,牙膏
赫敏·格兰杰最不擅长的课程是什么？, 占卜课
赫敏·格兰杰最不擅长的咒语是？, 呼神护卫
赫敏曾经喝下复方汤剂变成过以下哪种样子？,猫女
赫敏曾经收到过麦格教授的礼物，礼物是什么呢？,时间转换器
赫敏创立的家养小精灵权利促进协会的缩写是？,S.P.E.W.
赫敏第一次喝复方汤剂时原本想伪装成谁？,米里森·伯斯德
赫敏发现蛇怪通过什么在城堡中移动？,管道
赫敏用什么办法一次上不止一节课？,时间转换器
赫敏制作的复汤药剂的配方出自哪本书？,《强力药剂》
赫奇帕奇的学院幽灵是谁？,胖修士
和小天狼星·布莱克一起逃跑的鹰头马身有翼兽叫什么名字？,巴克比克
黑暗时期，谁向伏地魔出卖了詹姆和莉莉？,小矮星彼得
黑夜王在成为伏地魔之前叫什么名字？,汤姆·里德尔
红帽子通常在哪里被发现？, 有流血的地方就容易有红帽子
霍格莫德村倍受欢迎的甜点商店叫什么名字？,蜂蜜公爵糖果店
霍格莫德妖精叛乱的时间是？,1612年
霍格沃茨保卫战发生在哪一年？,1998
霍格沃茨不允许学生带什么宠物入学？,八眼巨蛛
霍格沃茨城堡坐落于什么地方？,苏格兰高地
霍格沃茨的第一任管理员是谁？,汉克顿·汉博
霍格沃茨的飞行课教师是谁？,霍琦夫人
霍格沃茨的家养小精灵又把“有求必应屋”称为什么？,来去屋
霍格沃茨的猎场看守是谁？, 鲁伯·海格
霍格沃茨的哪一任校长曾经是著名的草药学家？,菲利达·斯波尔
霍格沃茨的图书管理员是谁？,平斯女士
霍格沃茨的学生给卢娜·洛夫古德起了什么外号？,疯姑娘卢娜
霍格沃茨的学生通常在对角巷哪里购买校袍？,摩金夫人长袍专卖店
霍格沃茨各学院的学院杯分数是用什么记录的？, 装满宝石的沙漏
霍格沃茨魁地奇球赛的裁判是谁？,霍琦女士
霍格沃茨历史上，谁在有求必应屋放出了厉火？,文森特·克拉布
霍格沃茨历史上最年轻的校长是谁？,西弗勒斯:斯内普
霍格沃茨女生盥洗室里游荡着哪位幽灵？, 桃金娘
霍格沃茨入学时要求学生购买的天平是什么材质的？,黄铜
霍格沃茨特快列车出现以前，霍格沃茨的学生们如何去学校？,门钥匙
霍格沃茨特快列车从哪个车站出发？,国王十字车站
霍格沃茨特快列车上卖零食的女售货员叫什么名字？,没人知道
霍格沃茨通往霍格莫德的密道藏在哪里？,驼背独眼女巫雕像后面
霍格沃茨唯一的幽灵教授是谁？,宾斯教授
霍格沃茨一共有几道楼梯呢？,142
霍格沃茨一年级新生不被允许带什么入校？,飞天扫帚
霍格沃茨之战开战前，谁召集了食死徒？,阿莱克托·卡罗
霍格沃茨之战中，是谁斩断了纳吉尼的头？,纳威·隆巴顿
霍格沃茨最高的塔楼是什么？,天文塔
火螃蟹的壳上覆盖着什么？,宝石
火螃蟹和人头狮身蝎尾兽交配后会得到什么？, 炸尾螺
霍琦夫人曾经使用过下列哪一种扫帚飞行？,银箭
吉德罗·洛哈特曾经发明过一种洗发水，其中含有下列哪种成分？,鸟蛇蛋黄
吉德罗·洛哈特教授失忆后被收治于圣芒戈医院几楼？,五楼
吉德罗·洛哈特使用了谁的魔杖施展遗忘咒后失去了记忆？,罗恩·韦斯莱
假疯眼汉穆迪在惩罚马尔福时，把他变成了？,白鼬
假穆迪教授在课堂上用什么演示了不可饶恕咒？,蜘蛛
家养小精灵多比最初的主人是谁？, 卢修斯·马尔福
尖叫棚屋在什么地方？,霍格莫德村
叫丽痕的商店出售什么？,书本
劫盗者中谁的家族都来自于斯莱特林？,小天狼星·布莱克
接纳之笔在什么上记录英国境内巫师新生儿？,准入之书
金妮·韦斯莱名字中的“金妮”是什么的简称？, 吉尼芙拉
金妮调侃谁的名字叫粘痰？,芙蓉·德拉库尔
金色飞贼被发明之前，魁地奇比赛中使用的是哪一种生物？,金飞侠
金色飞贼翅膀是什么颜色？,银色
禁止滥用麻瓜物品办公室的主任是谁？,亚瑟·韦斯莱
据莫丽所知，亚瑟·韦斯莱的最大理想是什么？,弄清飞机是怎么呆在天上的
考考你们，食死徒贝拉特里克斯·莱斯特兰奇的妹妹是谁？,纳西莎·马尔福
克鲁克山是一只什么颜色的猫？, 姜黄色
哭泣的桃金娘是哪个学院的？,拉文克劳
魁地奇比赛中，常规得分手段是投进什么球？,鬼飞球
魁地奇比赛中，什么位置负责击打游走球？,击球手
魁地奇球队霍利黑德哈比队，成立于哪一年？,1203年
拉文克劳的冠冕被汤姆·里德尔得到前存放在哪个国家的一个树的树洞里？,阿尔巴尼亚
拉文克劳的冠冕曾被海莲娜·拉文克劳藏在哪里？,阿尔巴尼亚森林
拉文克劳的冠冕底座上刻的格言是？,过人的智慧是人类最大的财富
拉文克劳的冠冕是被下列哪个咒语摧毁的？,厉火咒
拉文克劳的学院幽灵是谁？,格雷女士
拉文克劳公共休息室的门环是什么形状？,鹰
莱姆斯·卢平、小天狼星·布莱克、詹姆·波特和小矮星彼得的组合名称是什么？,劫盗者
狼人芬里尔·格雷贝克是什么邪恶群体的头目？,搜捕队头目
老魔杖的别称中不包括什么？,智慧杖
老魔杖的杖芯是什么？,夜骐的尾毛
老汤姆·里德尔的墓碑在哪儿？, 小汉格顿
雷吉·卡特莫尔在魔法部的哪个部门工作？,魔法维修保养处
莉莉·伊万斯曾赠予斯拉格霍恩教授什么东西？,一朵变成鱼的花
莉莉·伊万斯第一个认识的巫师是谁？,西弗勒斯·斯内普
历史上，邓布利多军的常规训练地点在哪里？,有求必应屋
历史上，赫敏·格兰杰第一次制作复方汤剂时错误试用了哪种生物的毛发？,猫
历史上，赫奇帕奇的金杯由谁亲手摧毁？,赫敏·格兰杰
历史上，纳吉尼在变成蛇之前和谁关系密切？,克莱登斯·巴瑞波恩
历史上，是谁摧毁了魂器马沃罗·冈特的戒指？,阿不思·邓布利多
历史上，谁在学校修建了藏有蛇怪的密室，只为清除学校里的非纯血巫师？,萨拉查·斯莱特林
历史上，汤姆·里德尔污蔑谁打开了密室？,鲁伯·海格
历史上格兰芬多公共休息室入口在胖夫人受到惊吓后，由谁临时守护？,卡多根爵士
历史上谁打败了一代黑魔王盖勒特·格林德沃？,阿不思·邓布利多
历史轶闻，谁将活点地图送给了哈利？,弗雷德和乔治
龙血的十二种用途的发现者是谁？, 阿不思·邓布利多
鲁伯·海格的父母中谁是巨人？,母亲是巨人
鲁伯·海格的小龙诺伯托付给查理之后改名为什么？,诺贝塔
鲁伯·海格上学的时候，谁是他最好的朋友？,阿拉戈克
鲁伯·海格在霍格沃茨就读几年级时，因为密室事件而被学校开除？,三年级
卢娜·洛夫古德的守护神是什么形态？,野兔
卢娜·洛夫古德父亲的职业是什么？,《唱唱反调》的编辑
卢娜·洛夫古德女士曾属于哪个学院？,拉文克劳
卢娜的父亲是哪份报纸的主编？,《唱唱反调》
卢娜的守护神是什么？,可爱的兔子
卢娜认为哪种植物可以用于驱赶大嘴彩球鱼？,戈迪根
卢娜通过防妖眼镜可以看到什么？,骚扰虻
